route,corridor,from_terminus,to_terminus,stages,already_done,known_terminals,known_saccos,researched_terminal,researched_saccos,research_confidence,YOUR_TERMINAL,YOUR_SACCOS
10,kangundo_road,Muthurwa,Mwisho,17,,,,,,,,
36,kangundo_road,City Stadium,Dandora Terminal,37,,,,,,,,
58,kangundo_road,Ambassadeur,Mutindwa,18,,,,,,,,
19C,kangundo_road,Ronald Ngala/Tuskys,Mkanju Court,43,,,,Tea Room,Embassava,low,,
19C,kangundo_road,Ambassadeur,Mkanju Court,53,,,,Tea Room,Embassava,low,,
33C,kangundo_road,Commercial,Kobil,24,,,,,,,,
34B,kangundo_road,Ambassadeur,Jacaranda,23,,,,,,,,
34J,kangundo_road,Ambassadeur,Passenger Boarding,27,,,,,,,,
04SK,kangundo_road,Tuskys Ronald Ngala,Saika Junction,19,,,,,,,,
1960,kangundo_road,Ladhes Road/Otc,Kayole 1,41,,,,OTC,Embassava,low,,
19C2,kangundo_road,Umoja Stage,Tushauriane,26,,,,,,,,
33DP,kangundo_road,Muthurwa,Rounda,21,,,,,,,,
3738,kangundo_road,Soko,Quickmart,21,,,,,,,,
1961K,kangundo_road,Ladhes Road/Otc,Diesel,38,,,,,,,,
33GTB,kangundo_road,Commercial,Gate B,20,,,,,,,,
35/60,kangundo_road,Tuskys Ronald Ngala,Umoja Market,15,,,,Tea Room,Embassava,medium,,
70/71,kangundo_road,Muthurwa,Donholm,16,,,,,,,,
3560_2,kangundo_road,Umoja Stage,Umoja 2 Terminus,15,,,,,,,,
100,kiambu_road,Githunguri Terminal,Kiambu Bus Terminus,28,,,,OTC,,low,,
120,kiambu_road,Githunguri Terminal,Githunguri Terminal,33,,,,Kaka,,unknown,,
121,kiambu_road,Githunguri Terminal,Ndumberi,26,,,,Kaka,,unknown,,
100A,kiambu_road,Ngara Bus Terminals,Kiambu Hospital,24,,,,,,,,
15,langata_road,Bus Station,Terminal,15,,,,,,,,
16,langata_road,Bus Station,Highrise,7,,,,,,,,
125,langata_road,Railways,Kware,34,,,,Railways,"Super Metro,Metro Trans,Zuri",medium,,
126,langata_road,Railways,Kiserian,47,,,,Railways,"Metro Trans,Zuri,MOA",medium,,
14A,langata_road,Bus Station,Strathmore/Siwaka,12,,,,,,,,
14B,langata_road,Bus Station,T-Mall,14,,,,,,,,
34L,langata_road,Kenyatta National Hospital,St.Marys Hospital,22,,,,,,,,
126RK,langata_road,Kware,Kiserian Terminus,14,,,,,,unknown,,
110,mombasa_road,Easy Coach/Uchumi,Kitengela,37,,,,Railways | Kencom,"Super Metro,Metro Trans",medium,,
12C,mombasa_road,Bus Station,Container/New Apostolic Church,12,,,,,,,,
12D,mombasa_road,Bus Station,Highway Estate,17,,,,,,,,
33B,mombasa_road,Commercial,Baraka Estate,25,,,,,,,,
33TP,mombasa_road,Commercial,Transami,16,,,,,,,,
110AK,mombasa_road,Devki,Kitengela,11,,,,Railways,Metro Trans,low,,
33FED,mombasa_road,Commercial,Posta Embakasi Village,22,,,,,,,,
33IMR,mombasa_road,Commercial Imara,Imara Daima,11,,,,,,,,
33MKR,mombasa_road,Bus Station,Maziwa,12,,,,,,,,
33UTW,mombasa_road,Ambassadeur,Githunguri,29,,,,,,,,
110ATH,mombasa_road,Easy Coach/Uchumi,Makadara,37,,,,,,,,
2,ngong_road,Railways,Dagoretti Market Mwisho,30,,,,Railways,MOA,low,,
5,ngong_road,Kencom,Togo Apartments,15,,,,,,,,
8,ngong_road,Railways,Equity Ayani,19,,,,Railways,,low,,
24,ngong_road,Karen/Shell,Kencom,30,,,,Railways,MOA,low,,
4W,ngong_road,Railways,Chemist/Kwa Maji/Kaberia,35,,,,,,,,
102,ngong_road,Railways,Kikuyu,40,,,,Railways,Super Metro,medium,,
111,ngong_road,Railways,Ngong Bus Terminus,58,,,,Railways | Afya Centre,"MOA,Super Metro,Metro Trans",medium,,
24C,ngong_road,Kencom,Karen,27,,,,,,unknown,,
32A,ngong_road,Kencom,Ayani,25,,,,,,,,
25,thika_road,Odeon Terminal,Baba Ndogo Terminal,17,,,,,,,,
43,thika_road,Bus Station,Ngumba Terminal,13,,,,,,,,
49,thika_road,Odeon Terminals,Sunton,28,,,,,,,,
17B,thika_road,Bus Station,Mwiki,35,,,,,,,,
25A,thika_road,25A Terminal,Lucky Summer Terminal,26,,,,,,,,
44G,thika_road,Main Stage,Main Stage,31,,,,,,,,
44Z,thika_road,Main Stage,Main Stage,23,,,,,,,,
45G,thika_road,Main Stage,Gihurai,13,,,,,,,,
45K,thika_road,Main Stage,KU,21,,,,,,,,
29/30,thika_road,Ngara Bus Terminals,Mathare North Terminal,11,,,,,,,,
1,,Karen Dispensary,Dagoretti Market,14,,,,,,,,
6,,Koja,Eastleigh Terminal,12,,,,,,,,
7,,Luthuli Avenue,Gikomba,4,,,,,,,,
11,,Bus Station,South B Mwisho,27,,,,,,,,
14,,Terminal Otc,Kariobangi Terminal,19,,,,,,,,
20,,Mama Lucy Terminal,Mwiki Terminal,26,,,,,,,,
26,,Makadara,Kariobangi,24,,,,,,,,
28,,Gikomba Market Terminals,Kariobangi Terminal,13,,,,,,,,
30,,Odeon Terminus,Ndumbuini Terminus,26,,,,,,,,
3N,,Ngara,Gikomba,9,,,,,,,,
3U,,Dagoretti Corner Stage,Uthiru Pentecostal,19,,,,,,,,
41,,Gikomba,Dandora Terminal,26,,,,,,,,
42,,Terminal,Dandora Terminal,19,,,,,,,,
53,,Roasters,Maruirui,8,,,,,,,,
56,,Railways,Kanungaga/56 Mwisho,23,,,,,,,,
69,,Muthurwa,Gm Mwisho,18,,,,,,,,
6E,,Church Army,Joster,7,,,,,,,,
7C,,Kencom,Kenyatta Hospital Stage,6,,,,,,,,
103,,Dagoretti Corner Stage,Wangige Stage,45,,,,,,,,
105,,Kikuyu Terminus,Odeon Terminus,37,,,,,Super Metro,medium,,
106,,Koja/Nation Centre,Banana Terminus,42,,,,,,,,
107,,Odeon,Karura Mwisho,41,,,,,,,,
108,,Poland Embassy,Gasolina/Gichagi Mwisho,14,,,,,,,,
115,,Koja,Limuru Town Terminal,42,,,,,,,,
116,,Koja,Limuru Terminus,49,,,,,,,,
118,,Koja,Wangige Stage,27,,,,,,,,
119,,Koja,Wangige Health Centre,30,,,,,,,,
11A,,Odeon Terminus,Kwa Mosque/Highridge Mwisho,16,,,,,,,,
11B,,Koja,Mayfair,4,,,,,,,,
11C,,Odeon,Pangani Terminal,12,,,,,,,,
11F,,Odeon,Ruaka Stage,21,,,,,,,,
129,,Kikuyu Terminus,Wangige Stage,16,,,,,,,,
135,,Kaka Terminal,Limuru Town Terminal,44,,,,,,,,
17A,,Rounda,Calvary,27,,,,Tea Room,Embassava,medium,,
17A,,Eastleigh Terminal,Kayole 1,41,,,,Tea Room,Embassava,medium,,
18C,,Kanisani,Eastleigh Terminal,41,,,,,,,,
23W,,Nation Building Terminal,Westlands Terminal,6,,,,,,,,
26S,,Aquinas,Kariobangi,24,,,,,,,,
32D,,Terminal Otc,Dandora Terminal,32,,,,,,,,
33H,,Carbanas,By Pass,17,,,,,,,,
33J,,Carbanas,Githunguri,18,,,,,,,,
405,,City Stadium/Lusaka Road Junctn,Baricho Road Terminus,6,,,,,,,,
44K,,Roysambu Terminus,Main Stage,17,,,,,,,,
45P,,Githurai,Proggie,4,,,,,,,,
46B,,Terminal Tusker,Tounder Terminal,17,,,,,,,,
46H,,Terminal Tusker,Johnsaga,17,,,,,,,,
46K,,Kencom,Kawangware Mwisho,20,,,,Railways,,low,,
46Y,,Kencom,Yaya,10,,,,,,,,
48A,,Odeon Terminus,Lavington Shopping Centre/Shell,12,,,,,,,,
48B,,Odeon Terminus,Othaya Road Stage,19,,,,,,,,
48C,,Odeon Terminus,Yaya,15,,,,,,,,
48K,,Westlands,Co-Op Bank,24,,,,,,,,
48O,,Odeon Terminus,Othaya Road,21,,,,,,,,
107D,,Main Stage,Ruiru,12,,,,,,,,
114R,,Ngara Stage,Limuru Terminus,48,,,,,,,,
114W,,Ngara Teminal,Limuru Town Terminal,44,,,,,,,,
119A,,Koja,Gathiga Mwisho,20,,,,,,,,
11_2,,Bus Station,Diamond Park Estate,23,,,,,,,,
126N,,Ngong Town,Kiserian,11,,,,,,,,
145B,,By Pass,Ruiru,11,,,,,,,,
145D,,Super High Way,Ruiru,10,,,,,,,,
2030,,Terminal,Rounder,5,,,,,,,,
23KG,,Odeon Terminus,Kangemi Terminus,21,,,,,,,,
23KS,,Ambassadeur,Kariobangi South Estate/Deliverance Church,26,,,,,,,,
24BK,,Nakumatt Galleria,Karen Road-Lang'Ata Road Junction,18,,,,,,,,
33DC,,Doni,Kobil,14,,,,,,,,
33NG,,St.Peters Clavers Primary School/Salvation Army/Otc,Ngumo Market,8,,,,,,,,
33SB,,Ngumo Stage,South B Stage,9,,,,,,,,
16/62,,Bus Station Terminal,Kanisani,30,,,,,,,,
17B_2,,Roysambu Terminus,Mwiki,17,,,,,,,,
1961Kd,,Caltex,Diesel,27,,,,,,,,
38/39,kangundo_road,Bus Station,Joska,43,YES,Bus Station | Temple Road,City Shuttle | EBTI | Eastern Bypass Travellers | Forward Travellers | KMO Sacco | Kubamba Ltd | Obamana | Super Metro,,,,,
145,thika_road,Kenya National Archives,Ruiru,25,YES,Kenya National Archives,Lopha,,,,,
237,thika_road,Kenya National Archives,Thika Town,39,YES,Kenya National Archives | Odeon Cinema | Mfangano / Ronald Ngala,Enabled | Latema | Lopha | Nicco | Super Metro,,,,,
